name,review_text_compound
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.0
ALDI,0.891
ALDI,0.7096
ALDI,0.9451
ALDI,0.91
ALDI,0.9524
ALDI,-0.0843
ALDI,0.8756
ALDI,0.672
ALDI,-0.8625
ALDI,0.936
ALDI,0.875
ALDI,0.5812
ALDI,0.9796
ALDI,0.5267
ALDI,0.6369
ALDI,-0.5423
ALDI,0.3182
ALDI,-0.4588
ALDI,0.9036
ALDI,0.946
ALDI,-0.128
ALDI,0.8271
ALDI,-0.5106
ALDI,0.7184
ALDI,0.8402
ALDI,0.8717
ALDI,0.9368
ALDI,-0.9274
ALDI,0.8176
ALDI,-0.1531
ALDI,0.6124
ALDI,-0.9451
ALDI,0.9413
ALDI,0.6808
ALDI,0.7717
ALDI,-0.5106
ALDI,0.9774
ALDI,0.3935
ALDI,0.9638
ALDI,0.886
ALDI,-0.25
ALDI,0.6249
ALDI,0.3612
ALDI,0.6353
ALDI,0.7783
ALDI,0.2247
ALDI,0.2363
ALDI,0.9423
ALDI,0.0
ALDI,0.1779
ALDI,-0.743
ALDI,0.6597
ALDI,0.9571
ALDI,0.25
ALDI,0.9246
ALDI,0.7845
ALDI,0.4829
ALDI,0.9423
ALDI,0.0
ALDI,0.8701
ALDI,0.7269
ALDI,0.6344
ALDI,0.8972
ALDI,0.8481
ALDI,0.0258
ALDI,0.7476
ALDI,0.8481
ALDI,0.7964
ALDI,0.8834
ALDI,0.9081
ALDI,0.9142
ALDI,0.4404
ALDI,-0.34
ALDI,0.9626
ALDI,0.3182
ALDI,0.8347
ALDI,0.9618
ALDI,0.4588
ALDI,0.6915
ALDI,0.9423
ALDI,-0.6705
ALDI,-0.4019
ALDI,0.5245
ALDI,0.8639
ALDI,0.9081
ALDI,-0.4404
ALDI,0.9601
ALDI,-0.6622
ALDI,0.9053
ALDI,0.4019
ALDI,0.5553
ALDI,0.9169
ALDI,0.8979
ALDI,0.819
ALDI,0.9896
ALDI,0.8979
ALDI,0.3182
ALDI,0.4215
ALDI,0.6771
ALDI,0.1451
ALDI,-0.4404
ALDI,0.4404
ALDI,0.4404
ALDI,-0.8664
ALDI,0.8934
ALDI,0.34
ALDI,0.5106
ALDI,0.7351
ALDI,0.9022
ALDI,0.5859
ALDI,0.8908
ALDI,0.875
ALDI,0.8271
ALDI,0.8555
ALDI,0.8973
ALDI,0.9648
ALDI,-0.3818
ALDI,0.4404
ALDI,0.8176
ALDI,0.9501
ALDI,0.8074
ALDI,0.0772
ALDI,-0.264
ALDI,0.4215
ALDI,0.7964
ALDI,0.4404
ALDI,-0.7906
ALDI,0.1027
ALDI,0.0
ALDI,0.8744
ALDI,0.1441
ALDI,0.6808
ALDI,0.6369
ALDI,-0.5223
ALDI,0.93
ALDI,0.4939
ALDI,0.9022
ALDI,0.9161
ALDI,-0.73
ALDI,0.6249
ALDI,0.9432
ALDI,0.9001
ALDI,0.6486
ALDI,0.6249
ALDI,0.5279
ALDI,0.0
ALDI,0.8481
ALDI,0.0
ALDI,0.7906
ALDI,0.8481
ALDI,0.8934
ALDI,0.9246
ALDI,0.0
ALDI,0.8885
ALDI,0.836
ALDI,0.8316
ALDI,0.0
ALDI,0.2057
ALDI,0.7778
ALDI,0.9062
ALDI,0.4939
ALDI,0.8591
ALDI,0.8519
ALDI,0.4404
ALDI,0.7351
ALDI,0.6808
ALDI,0.4404
ALDI,0.4215
ALDI,0.7003
ALDI,0.6808
ALDI,0.6808
ALDI,0.0
ALDI,0.6124
ALDI,0.875
ALDI,0.8316
ALDI,0.6249
ALDI,0.296
ALDI,-0.0772
ALDI,0.5106
ALDI,0.6808
ALDI,0.9186
ALDI,0.7506
ALDI,0.3818
ALDI,0.9349
ALDI,0.6249
ALDI,0.4215
ALDI,-0.3597
ALDI,0.8316
ALDI,0.0
ALDI,0.6597
ALDI,0.5859
ALDI,0.1779
ALDI,0.9153
ALDI,-0.7881
ALDI,0.296
ALDI,0.6597
ALDI,0.501
ALDI,0.9382
ALDI,0.8442
ALDI,0.7964
ALDI,0.7964
ALDI,0.8658
ALDI,0.1779
ALDI,0.7964
ALDI,0.7906
ALDI,0.0
ALDI,0.9312
ALDI,0.7269
ALDI,0.6808
ALDI,0.8481
ALDI,0.4404
ALDI,0.0
ALDI,-0.1027
ALDI,0.4939
ALDI,0.7783
ALDI,0.4019
ALDI,0.3182
ALDI,0.2363
ALDI,-0.2263
ALDI,0.1531
ALDI,0.4019
ALDI,0.6369
ALDI,0.4404
ALDI,0.3182
ALDI,0.4404
ALDI,0.6705
ALDI,0.4404
ALDI,0.9136
ALDI,0.0
ALDI,-0.8591
ALDI,0.3182
ALDI,0.7269
ALDI,0.8074
ALDI,0.8271
ALDI,0.8555
ALDI,0.4754
ALDI,0.7845
ALDI,0.7269
ALDI,0.6249
ALDI,0.4939
ALDI,0.6249
ALDI,0.1779
ALDI,0.7184
ALDI,0.4404
ALDI,0.4404
ALDI,0.6249
ALDI,-0.3089
ALDI,0.7783
ALDI,0.6369
ALDI,0.4404
ALDI,0.9714
ALDI,0.4019
ALDI,-0.1027
ALDI,0.9735
ALDI,0.0
ALDI,0.4404
ALDI,0.0
ALDI,0.6946
ALDI,0.6808
ALDI,0.4019
ALDI,0.9648
ALDI,0.4939
ALDI,0.4404
ALDI,0.9246
ALDI,0.3005
ALDI,0.4404
ALDI,0.2263
ALDI,0.4404
ALDI,0.4588
ALDI,0.6486
ALDI,0.9101
ALDI,0.8689
ALDI,-0.8908
ALDI,0.9382
ALDI,0.9062
ALDI,0.9468
ALDI,0.8807
ALDI,-0.8647
ALDI,-0.8375
ALDI,0.7787
ALDI,0.9764
ALDI,0.8402
ALDI,0.9287
ALDI,0.8225
ALDI,0.9674
ALDI,0.4404
ALDI,0.8979
ALDI,0.0
ALDI,0.9337
ALDI,0.9581
ALDI,-0.4455
ALDI,0.6597
ALDI,0.666
ALDI,0.4929
ALDI,0.7906
ALDI,-0.4588
ALDI,0.9432
ALDI,0.9888
ALDI,0.5859
ALDI,-0.8759
ALDI,-0.4588
ALDI,0.8442
ALDI,0.9186
ALDI,-0.7884
ALDI,0.0
